2026-07-22 04:39:20,000 INFO loading google/gemma-4-31b-it (bf16)...
2026-07-22 04:39:43,268 INFO model loaded in 23s
2026-07-22 04:39:49,886 INFO median residual rms at layer 33: 4.322
2026-07-22 04:42:29,108 INFO happy: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:45:05,170 INFO inspired: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:47:38,467 INFO loving: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:50:11,130 INFO proud: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:52:43,886 INFO calm: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:55:16,359 INFO desperate: saved (4032, 2) (alpha=8 x rms)
2026-07-22 04:57:51,125 INFO angry: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:00:23,713 INFO guilty: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:02:56,576 INFO sad: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:05:29,449 INFO afraid: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:08:04,136 INFO nervous: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:10:39,587 INFO surprised: saved (4032, 2) (alpha=8 x rms)
2026-07-22 05:10:39,602 INFO steering collection complete
